state,mean,2.5quant,97.5quant
AL,0.401197676523187,0.334767632279386,0.467931274777935
AK,0.36485393798135,0.303539969054358,0.425936463225425
AZ,0.45541779247747,0.437395143957114,0.473521148901712
AR,0.445811039335006,0.406408636515429,0.485335573729712
CA,0.594391579999188,0.575370238647065,0.613348118458924
CO,0.506806278361772,0.494697867514693,0.518975355992304
CT,0.55964534178244,0.54501113736937,0.574279445401902
DE,0.582981664951888,0.544083423519342,0.621906279062316
FL,0.501291399856052,0.489953394951218,0.512470010360888
GA,0.44983001996673,0.432361333899864,0.467460735639489
HI,0.629688577417053,0.59003797797409,0.669226150781013
ID,0.322025874008475,0.286998744806202,0.357325607405988
IL,0.590872832513538,0.570634398927498,0.610843498212501
IN,0.444126054041613,0.41891932537659,0.469706105666742
IA,0.515425071640959,0.503257387824166,0.527532938060303
KS,0.40038684338835,0.380156128856581,0.420916079876674
KY,0.420329439897181,0.385757380094514,0.454083765203322
LA,0.436463965452708,0.396472308139131,0.476452798828867
ME,0.571508485626005,0.545282557999878,0.597524312953812
MD,0.600667932244352,0.579596125355818,0.621484117112847
MA,0.589005855726233,0.572377396212087,0.605552041638679
MI,0.543449347146883,0.528816724499205,0.55816744940691
MN,0.539042934085017,0.52310908729858,0.55492984743089
MS,0.421305781415028,0.395385020481887,0.447246453056772
MO,0.465141660151634,0.45152730098877,0.478867048859923
MT,0.448262404528428,0.427937716944635,0.468592477841444
NE,0.417827146290942,0.393512561202816,0.442080938388607
NV,0.517236699613953,0.504159602421397,0.530191794887742
NH,0.510419190042985,0.496155327526399,0.524715514786072
NJ,0.552789859228553,0.53475813974037,0.571018182443109
NM,0.554657851952795,0.536662297578437,0.572934162098063
NY,0.626423131020592,0.607489292849811,0.645365386822514
NC,0.487038013383188,0.474515161531764,0.499356639750305
ND,0.433764669334451,0.408126694906485,0.459561835268404
OH,0.514570140898923,0.503367213725033,0.52576461516466
OK,0.364629117469183,0.325087690024494,0.404259550063847
OR,0.535972408686147,0.509984015103627,0.56219409139743
PA,0.533524968483304,0.520466295787372,0.546594815814932
RI,0.632824289042648,0.583119109767986,0.682512122121224
SC,0.434456123552919,0.422049406019613,0.446947413826099
SD,0.41620058578593,0.377380861230258,0.455269867663354
TN,0.447808128374179,0.411830971967294,0.483975551572317
TX,0.419383259494635,0.399241572711259,0.439795998640501
UT,0.309136501421994,0.264029640573048,0.353808325104549
VT,0.621144863303024,0.581482680813856,0.660774696468808
VA,0.507486114528834,0.495630283657977,0.519456461972923
WA,0.567482315927828,0.551903477783595,0.583182438989534
WV,0.424038060188007,0.375065244488216,0.473431282331422
WI,0.518880563674228,0.50630450193914,0.5314916734129
WY,0.312640150127207,0.290482548924186,0.335067108837751
